seconds,id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,index_nan_no_stim,nan,nan_nostim
1.0,1.0,female,example,1.0,red,top,179.0,1078.0,52.731,0.0,0.0,0.0,1.0,0.0,0.0,0.855,0.145,0.0,0.145,0.0,0.997,0.0,0.003,0.0,0.914,0.086,5655.0,0.0,0.0
2.0,1.0,female,example,1.0,red,top,179.0,1078.0,24.445,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.895,0.105,6496.0,0.0,0.0
3.0,1.0,female,example,1.0,red,top,179.0,1078.0,26.417,0.0,0.0,0.0,1.0,0.0,0.0,0.944,0.056,0.0,0.056,0.0,1.0,0.0,0.0,0.0,0.412,0.588,7337.0,0.0,0.0
4.0,1.0,female,example,1.0,red,top,179.0,1078.0,51.171,0.0,0.0,0.0,1.0,0.0,0.0,0.72,0.28,0.0,0.28,0.0,0.923,0.0,0.0,0.077,0.01,0.99,8178.0,0.0,0.0
5.0,1.0,female,example,1.0,red,top,179.0,1078.0,30.634,0.0,0.0,0.0,1.0,0.0,0.0,0.692,0.308,0.0,0.308,0.0,0.936,0.0,0.0,0.064,0.0,1.0,9019.0,0.0,0.0
6.0,1.0,female,example,1.0,red,top,179.0,1078.0,59.199,0.0,0.0,0.0,1.0,0.0,0.0,0.766,0.234,0.0,0.234,0.0,0.395,0.0,0.0,0.605,0.0,1.0,9860.0,0.0,0.0
7.0,1.0,female,example,1.0,red,top,179.0,1078.0,61.084,0.0,0.0,0.0,1.0,0.0,0.0,0.597,0.403,0.0,0.403,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10701.0,0.0,0.0
8.0,1.0,female,example,1.0,red,top,179.0,1078.0,18.575,0.0,0.0,0.0,1.0,0.0,0.0,0.583,0.417,0.0,0.417,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11542.0,0.0,0.0
9.0,1.0,female,example,1.0,red,top,179.0,1078.0,14.382,0.0,0.0,0.0,1.0,0.0,0.0,0.605,0.395,0.0,0.395,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12383.0,0.0,0.0
10.0,1.0,female,example,1.0,red,top,179.0,1078.0,20.048,0.0,0.0,0.0,1.0,0.0,0.0,0.641,0.359,0.0,0.359,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13224.0,0.0,0.0
