scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,688.9025716781616,-0.9380526542663574,5.56647137273103e-07,683.9526000209153,1.474733591079712,2.0627746835089056e-06,0.6569674015045166,4.416795194149017,3.03635459886209e-07
1,688.0762591362,-0.9374499320983887,6.638193781327573e-07,684.0819900110364,1.2757313251495361,2.6994102881872095e-06,0.6778428554534912,4.385871112346649,2.822024498527753e-07
2,688.139585018158,-0.8677735328674316,6.95304038345057e-07,684.0908820927143,1.5338690280914307,3.0153087209328078e-06,0.6932542324066162,4.493747860193253,3.352211876972433e-07
3,687.9290609359741,-0.9464683532714844,7.722118766650965e-07,684.4860427677631,1.2643094062805176,3.6429689771466656e-06,0.6089775562286377,4.468123704195023,3.607414384987351e-07
4,688.1614289283752,-0.9567527770996094,4.941139195580035e-07,684.6658506989479,0.9274845123291016,2.3480888557969593e-06,0.6352918148040771,4.436759322881699,3.2539031735723256e-07
5,688.4816031455994,-0.8906636238098145,6.362549243021931e-07,684.4815994501114,0.939720630645752,2.700752020246e-06,0.6737260818481445,4.491577565670013,2.905774181272136e-07
6,688.1262636184692,-1.2613563537597656,4.799197768079466e-07,684.4243288934231,1.0531806945800781,2.3071504529070808e-06,0.6622648239135742,4.488142281770706,3.029632296147611e-07
7,688.0491824150085,-0.9720125198364258,7.451879469044798e-07,684.3053757548332,1.149925708770752,3.45812554769509e-06,0.6768202781677246,4.329409837722778,2.8145043984295626e-07
8,688.0996294021606,-1.0110769271850586,6.068657398827781e-07,684.6206324100494,1.2977535724639893,3.0622759368270636e-06,0.548386812210083,4.334684580564499,2.7673073077494337e-07
9,688.1692385673523,-1.008854866027832,5.004764602745126e-07,684.8844037055969,1.174372673034668,2.7718579076463357e-06,0.6298179626464844,4.335759252309799,2.957335141218209e-07
10,687.9327788352966,-0.9217014312744141,6.641878940172319e-07,684.6713572740555,0.8649246692657471,3.113690127065638e-06,0.6060042381286621,4.366250455379486,2.972745960505563e-07
