scorer,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000
bodyparts,stimulusLeft,stimulusLeft,stimulusLeft,stimulusRight,stimulusRight,stimulusRight,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,173.326136469841,389.96882939338684,1.0,1649.8160710334778,656.1293087005615,0.9999997615814209,813.0211104154587,695.262068271637,0.9999998807907104,798.6109008789062,702.6270503997803,0.9999994039535522,787.8018402010202,691.3922154307365,1.0
1,170.6114535331726,387.3976626396179,1.0,1650.685482621193,659.9017135724425,1.0,813.731516122818,695.4564399719238,1.0,800.243588924408,703.5554571151733,0.9999997615814209,786.7444897890091,691.9295891821384,1.0
2,171.86810106039047,384.8985183238983,1.0,1649.2374629974365,664.7428302764893,0.9999994039535522,812.7438302636147,695.133397102356,1.0,800.4459722042084,703.1413688659668,0.9999997615814209,787.1708194613457,690.5319700241089,1.0
3,172.48985534906387,382.41768312454224,0.9999998807907104,1650.710155248642,668.145582139492,0.9999994039535522,813.5037250518799,694.701975107193,1.0,800.2743403911591,702.9472978115082,0.9999998807907104,788.3016945123672,691.2004131674767,1.0
4,173.66468954086304,382.858332157135,0.9999995231628418,1648.3946177959442,667.8830698132515,0.9999992847442627,813.5018597841263,694.7825636863708,1.0,800.2164402008057,702.6263270378113,0.9999998807907104,788.902070581913,691.153328359127,1.0
5,172.42967987060547,379.17525148391724,0.9999998807907104,1648.2700080871582,669.4392830133438,0.9999992847442627,813.8819440603256,693.8765347003937,1.0,800.347797870636,701.2623167037964,1.0,789.0659487247467,690.2884204387665,1.0
6,173.0574916601181,377.01828241348267,1.0,1646.987952709198,673.334344625473,0.9999997615814209,814.0834922790527,693.5166679620743,1.0,800.2645704746246,700.8512281179428,0.9999998807907104,789.317579627037,689.2873411178589,0.9999998807907104
7,173.4118299484253,375.0402853488922,1.0,1648.5144882202148,676.3192085027695,1.0,817.2482163906097,692.7767706513405,1.0,801.6748950481415,700.1875201463699,1.0,789.9422281980515,688.394674539566,0.9999997615814209
8,171.29077476263046,372.3065128326416,1.0,1649.3595304489136,680.0062613487244,0.9999995231628418,816.473491191864,692.0215703044087,1.0,803.4739677906036,700.0147976893932,1.0,790.6581885814667,689.183180809021,0.9999998807907104
9,173.42021465301514,368.92818331718445,1.0,1650.370718717575,681.692878484726,0.9999996423721313,819.0032091140747,692.3322278857231,1.0,804.6486855745316,700.1425614953041,1.0,792.0549993515015,689.5870988368988,0.9999998807907104
