seconds,id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,nan
1.0,1.0,female,example,1.0,red,top,179.0,1078.0,52.731,0.0,0.0,0.0,1.0,0.0,0.0,0.42,0.58,0.0,0.58,0.0,0.999,0.0,0.001,0.0,0.92,0.08,0.0
2.0,1.0,female,example,1.0,red,top,179.0,1078.0,24.445,0.0,0.0,0.0,1.0,0.0,0.0,0.655,0.345,0.0,0.345,0.0,1.0,0.0,0.0,0.0,0.909,0.091,0.0
3.0,1.0,female,example,1.0,red,top,179.0,1078.0,26.417,0.0,0.0,0.0,1.0,0.0,0.0,0.468,0.532,0.0,0.532,0.0,1.0,0.0,0.0,0.0,0.413,0.587,0.0
4.0,1.0,female,example,1.0,red,top,179.0,1078.0,51.171,0.0,0.0,0.0,1.0,0.0,0.0,0.261,0.739,0.0,0.739,0.0,0.937,0.0,0.0,0.063,0.009,0.991,0.0
5.0,1.0,female,example,1.0,red,top,179.0,1078.0,30.634,0.0,0.0,0.0,1.0,0.0,0.0,0.268,0.732,0.0,0.732,0.0,0.958,0.0,0.0,0.042,0.0,1.0,0.0
6.0,1.0,female,example,1.0,red,top,179.0,1078.0,59.199,0.0,0.0,0.0,1.0,0.0,0.0,0.416,0.584,0.0,0.584,0.0,0.409,0.0,0.0,0.591,0.0,1.0,0.0
7.0,1.0,female,example,1.0,red,top,179.0,1078.0,61.084,0.0,0.0,0.0,1.0,0.0,0.0,0.35,0.65,0.0,0.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8.0,1.0,female,example,1.0,red,top,179.0,1078.0,18.575,0.0,0.0,0.0,1.0,0.0,0.0,0.322,0.678,0.0,0.678,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9.0,1.0,female,example,1.0,red,top,179.0,1078.0,14.382,0.0,0.0,0.0,1.0,0.0,0.0,0.342,0.658,0.0,0.658,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10.0,1.0,female,example,1.0,red,top,179.0,1078.0,20.048,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.63,0.0,0.63,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.833,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.62,0.0,0.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12.0,1.0,female,example,1.0,red,top,179.0,1078.0,12.707,0.0,0.0,0.0,1.0,0.0,0.0,0.369,0.631,0.0,0.631,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.403,0.0,0.0,0.0,1.0,0.0,0.0,0.337,0.663,0.0,0.663,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14.0,1.0,female,example,1.0,red,top,179.0,1078.0,19.461,0.0,0.0,0.0,1.0,0.0,0.0,0.298,0.702,0.0,0.702,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,1.0,female,example,1.0,red,top,179.0,1078.0,12.84,0.0,0.0,0.0,1.0,0.0,0.0,0.268,0.732,0.0,0.732,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.822,0.0,0.0,0.0,1.0,0.0,0.0,0.234,0.766,0.0,0.766,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17.0,1.0,female,example,1.0,red,top,179.0,1078.0,16.109,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.82,0.0,0.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
18.0,1.0,female,example,1.0,red,top,179.0,1078.0,21.199,0.0,0.0,0.0,1.0,0.0,0.0,0.135,0.865,0.0,0.865,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19.0,1.0,female,example,1.0,red,top,179.0,1078.0,23.08,0.0,0.0,0.0,1.0,0.0,0.0,0.103,0.897,0.0,0.897,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20.0,1.0,female,example,1.0,red,top,179.0,1078.0,20.408,0.0,0.0,0.0,1.0,0.0,0.0,0.107,0.893,0.0,0.893,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21.0,1.0,female,example,1.0,red,top,179.0,1078.0,16.122,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.875,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
