seconds,id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,nan
1.0,1.0,female,example,1.0,red,top,179.0,1078.0,52.731,0.0,0.0,1.0,0.0,0.0,0.0,0.46,0.54,0.0,0.54,0.0,1.0,0.0,0.0,0.0,0.888,0.112,0.0
2.0,1.0,female,example,1.0,red,top,179.0,1078.0,24.445,0.0,0.0,1.0,0.0,0.0,0.0,0.656,0.344,0.0,0.344,0.0,1.0,0.0,0.0,0.0,0.865,0.135,0.0
3.0,1.0,female,example,1.0,red,top,179.0,1078.0,26.417,0.0,0.0,1.0,0.0,0.0,0.0,0.484,0.516,0.0,0.516,0.0,1.0,0.0,0.0,0.0,0.342,0.658,0.0
4.0,1.0,female,example,1.0,red,top,179.0,1078.0,51.171,0.0,0.0,1.0,0.0,0.0,0.0,0.306,0.694,0.0,0.694,0.0,0.894,0.0,0.0,0.106,0.006,0.994,0.0
5.0,1.0,female,example,1.0,red,top,179.0,1078.0,30.634,0.0,0.0,1.0,0.0,0.0,0.0,0.317,0.683,0.0,0.683,0.0,0.901,0.0,0.0,0.099,0.0,1.0,0.0
6.0,1.0,female,example,1.0,red,top,179.0,1078.0,59.199,0.0,0.0,1.0,0.0,0.0,0.0,0.453,0.547,0.0,0.547,0.0,0.359,0.0,0.0,0.641,0.0,1.0,0.0
7.0,1.0,female,example,1.0,red,top,179.0,1078.0,61.084,0.0,0.0,1.0,0.0,0.0,0.0,0.401,0.599,0.0,0.599,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8.0,1.0,female,example,1.0,red,top,179.0,1078.0,18.575,0.0,0.0,1.0,0.0,0.0,0.0,0.376,0.624,0.0,0.624,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9.0,1.0,female,example,1.0,red,top,179.0,1078.0,14.382,0.0,0.0,1.0,0.0,0.0,0.0,0.394,0.606,0.0,0.606,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10.0,1.0,female,example,1.0,red,top,179.0,1078.0,20.048,0.0,0.0,1.0,0.0,0.0,0.0,0.417,0.583,0.0,0.583,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.833,0.0,0.0,1.0,0.0,0.0,0.0,0.422,0.578,0.0,0.578,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12.0,1.0,female,example,1.0,red,top,179.0,1078.0,12.707,0.0,0.0,1.0,0.0,0.0,0.0,0.411,0.589,0.0,0.589,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.403,0.0,0.0,1.0,0.0,0.0,0.0,0.379,0.621,0.0,0.621,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14.0,1.0,female,example,1.0,red,top,179.0,1078.0,19.461,0.0,0.0,1.0,0.0,0.0,0.0,0.342,0.658,0.0,0.658,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15.0,1.0,female,example,1.0,red,top,179.0,1078.0,12.84,0.0,0.0,1.0,0.0,0.0,0.0,0.315,0.685,0.0,0.685,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.822,0.0,0.0,1.0,0.0,0.0,0.0,0.284,0.716,0.0,0.716,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17.0,1.0,female,example,1.0,red,top,179.0,1078.0,16.109,0.0,0.0,1.0,0.0,0.0,0.0,0.232,0.768,0.0,0.768,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
18.0,1.0,female,example,1.0,red,top,179.0,1078.0,21.199,0.0,0.0,1.0,0.0,0.0,0.0,0.189,0.811,0.0,0.811,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19.0,1.0,female,example,1.0,red,top,179.0,1078.0,23.08,0.0,0.0,1.0,0.0,0.0,0.0,0.158,0.842,0.0,0.842,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20.0,1.0,female,example,1.0,red,top,179.0,1078.0,20.408,0.0,0.0,1.0,0.0,0.0,0.0,0.16,0.84,0.0,0.84,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
21.0,1.0,female,example,1.0,red,top,179.0,1078.0,16.122,0.0,0.0,1.0,0.0,0.0,0.0,0.172,0.828,0.0,0.828,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22.0,1.0,female,example,1.0,red,top,179.0,1078.0,18.602,0.0,0.0,1.0,0.0,0.0,0.0,0.178,0.822,0.0,0.822,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
23.0,1.0,female,example,1.0,red,top,179.0,1078.0,15.055,0.0,0.0,1.0,0.0,0.0,0.0,0.175,0.825,0.0,0.825,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
24.0,1.0,female,example,1.0,red,top,179.0,1078.0,15.848,0.0,0.0,1.0,0.0,0.0,0.0,0.157,0.843,0.0,0.843,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25.0,1.0,female,example,1.0,red,top,179.0,1078.0,13.886,0.0,0.0,1.0,0.0,0.0,0.0,0.124,0.876,0.0,0.876,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26.0,1.0,female,example,1.0,red,top,179.0,1078.0,28.661,0.0,0.0,1.0,0.0,0.0,0.0,0.112,0.888,0.0,0.888,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27.0,1.0,female,example,1.0,red,top,179.0,1078.0,42.521,0.0,0.0,1.0,0.0,0.0,0.0,0.386,0.614,0.0,0.614,0.0,0.176,0.0,0.0,0.824,0.0,1.0,0.0
28.0,1.0,female,example,1.0,red,top,179.0,1078.0,44.151,0.0,0.0,1.0,0.0,0.0,0.0,0.447,0.553,0.0,0.553,0.0,0.95,0.0,0.05,0.0,0.818,0.182,0.0
29.0,1.0,female,example,1.0,red,top,179.0,1078.0,42.46,0.0,0.0,1.0,0.0,0.0,0.0,0.635,0.365,0.0,0.365,0.0,0.206,0.0,0.794,0.0,1.0,0.0,0.0
30.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.096,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31.0,1.0,female,example,1.0,red,top,179.0,1078.0,17.428,0.0,0.0,1.0,0.0,0.0,0.0,0.958,0.041,0.001,0.041,0.001,0.0,0.0,1.0,0.0,1.0,0.0,0.0
