seconds,id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,LEFTCLOSE,LEFT,CENTER,RIGHT,RIGHTCLOSE,frontalleft,blindleft,lateralLeftleft,lateralRightleft,LeftALLleft,RightALLleft,frontalright,blindright,lateralLeftright,lateralRightright,LeftALLright,RightALLright,index_nan_no_stim,nan,nan_nostim
1.0,2.0,male,example,,target,left,0.0,10789.0,96.962,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.207,0.793,0.0,0.793,0.0,464.0,0.0,0.0
2.0,2.0,male,example,,target,left,0.0,10789.0,42.218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0,0.586,0.0,0.586,0.0,0.0,0.0,0.0,1305.0,0.41379310344827586,0.0
3.0,2.0,male,example,,target,left,0.0,10789.0,25.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.0,0.276,0.0,0.0,0.276,0.0,0.276,0.0,2146.0,0.7241379310344828,0.0
4.0,2.0,male,example,,target,left,0.0,10789.0,26.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.276,0.724,0.0,0.724,0.0,2987.0,0.0,0.0
5.0,2.0,male,example,,target,left,0.0,10789.0,87.632,0.0,1.0,0.0,0.0,0.0,0.034,0.0,0.759,0.207,0.793,0.207,0.0,1.0,0.0,0.0,0.0,0.0,3828.0,0.0,0.0
6.0,2.0,male,example,,target,left,0.0,10789.0,27.783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.966,0.0,0.034,0.0,0.034,4669.0,0.0,0.0
7.0,2.0,male,example,,target,left,0.0,10789.0,79.371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.172,0.0,0.828,0.0,0.828,5510.0,0.0,0.0
8.0,2.0,male,example,,target,left,0.0,10789.0,102.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6351.0,0.0,0.0
9.0,2.0,male,example,,target,left,0.0,10789.0,180.745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.828,0.0,0.828,0.0,0.0,0.0,0.0,0.828,0.0,0.828,7192.0,0.1724137931034483,0.0
10.0,2.0,male,example,,target,left,0.0,10789.0,97.854,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8033.0,1.0,0.0
11.0,2.0,male,example,,target,left,0.0,10789.0,216.75,0.517,0.483,0.0,0.0,0.0,0.31,0.0,0.552,0.103,0.724,0.241,0.0,0.966,0.0,0.0,0.0,0.0,8874.0,0.034482758620689655,0.0
12.0,2.0,male,example,,target,left,0.0,10789.0,82.844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9715.0,0.0,0.0
13.0,2.0,male,example,,target,left,0.0,10789.0,84.839,1.0,0.0,0.0,0.0,0.0,0.034,0.0,0.034,0.931,0.034,0.966,0.0,0.069,0.931,0.0,0.931,0.0,10556.0,0.0,0.0
14.0,2.0,male,example,,target,left,0.0,10789.0,160.196,1.0,0.0,0.0,0.0,0.0,0.552,0.0,0.414,0.034,0.828,0.172,0.0,0.931,0.069,0.0,0.069,0.0,11397.0,0.0,0.0
15.0,2.0,male,example,,target,left,0.0,10789.0,39.439,1.0,0.0,0.0,0.0,0.0,0.172,0.0,0.828,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12238.0,0.0,0.0
